# Residuals   
# Time        	k             	nut           	omega         	p             	Urelx         	Urely         
144           	1.054888e-01	N/A	2.296321e-03	1.950287e-02	1.243135e-02	1.705928e-02
145           	6.002254e-02	N/A	2.130473e-03	1.872164e-02	1.321155e-02	1.691046e-02
146           	3.977914e-02	N/A	1.757221e-03	1.740172e-02	1.315296e-02	1.673661e-02
147           	7.350624e-02	N/A	1.829446e-03	1.541156e-02	1.149516e-02	1.650714e-02
148           	8.093342e-02	N/A	2.130396e-03	1.407852e-02	1.276498e-02	1.528882e-02
149           	5.377770e-02	N/A	2.062143e-03	1.533513e-02	1.173118e-02	1.517237e-02
150           	7.906365e-02	N/A	1.824470e-03	1.796438e-02	1.173047e-02	1.660250e-02
151           	7.253604e-02	N/A	2.274771e-03	2.066503e-02	1.397349e-02	1.877772e-02
152           	8.361915e-02	N/A	2.105592e-03	1.886237e-02	1.343740e-02	1.939191e-02
153           	8.081925e-02	N/A	2.332840e-03	1.915183e-02	1.278679e-02	1.853218e-02
154           	5.845299e-02	N/A	2.181832e-03	1.926473e-02	1.271123e-02	1.705558e-02
155           	4.991293e-02	N/A	1.846619e-03	1.906867e-02	1.248709e-02	1.662886e-02
156           	9.625694e-02	N/A	1.750631e-03	1.863144e-02	1.275497e-02	1.633827e-02
157           	8.564181e-02	N/A	2.073349e-03	1.731806e-02	1.270639e-02	1.746413e-02
158           	6.507537e-02	N/A	2.023178e-03	1.558064e-02	1.175745e-02	1.636317e-02
159           	4.421653e-02	N/A	1.839788e-03	1.384298e-02	1.199892e-02	1.476614e-02
160           	7.478467e-02	N/A	1.864966e-03	1.439211e-02	1.161012e-02	1.414636e-02
161           	7.661664e-02	N/A	2.088936e-03	1.734560e-02	1.185780e-02	1.617897e-02
162           	1.022011e-01	N/A	2.469100e-03	2.007406e-02	1.328521e-02	1.857133e-02
163           	5.722138e-02	N/A	2.210590e-03	1.900434e-02	1.423222e-02	1.965790e-02
164           	3.641249e-02	N/A	2.008786e-03	1.913405e-02	1.326289e-02	1.878921e-02
165           	4.008786e-02	N/A	1.900925e-03	1.922619e-02	1.298979e-02	1.706912e-02
166           	1.346069e-01	N/A	2.150551e-03	1.956526e-02	1.336716e-02	1.728776e-02
167           	6.887528e-02	N/A	2.794224e-03	1.949434e-02	1.483047e-02	1.815303e-02
168           	6.998249e-02	N/A	1.972639e-03	1.792585e-02	1.363565e-02	1.829538e-02
169           	5.654271e-02	N/A	1.786513e-03	1.627978e-02	1.274326e-02	1.817319e-02
170           	6.788663e-02	N/A	1.908260e-03	1.430036e-02	1.280866e-02	1.600162e-02
171           	4.301932e-02	N/A	1.965125e-03	1.414808e-02	1.263137e-02	1.471464e-02
172           	3.517567e-02	N/A	1.589039e-03	1.653076e-02	1.202511e-02	1.591247e-02
173           	8.715657e-02	N/A	2.043578e-03	1.953336e-02	1.316255e-02	1.822153e-02
174           	8.956293e-02	N/A	2.640499e-03	2.002116e-02	1.454817e-02	2.053534e-02
175           	7.552479e-02	N/A	2.345451e-03	1.886566e-02	1.428811e-02	1.993581e-02
176           	4.516984e-02	N/A	2.067937e-03	1.972597e-02	1.333737e-02	1.839942e-02
177           	3.133962e-02	N/A	1.861686e-03	1.927731e-02	1.305317e-02	1.777352e-02
178           	7.744531e-02	N/A	1.734899e-03	1.906740e-02	1.336602e-02	1.715537e-02
179           	4.147860e-02	N/A	1.972575e-03	1.796538e-02	1.391447e-02	1.753258e-02
180           	9.662696e-02	N/A	2.053480e-03	1.645057e-02	1.254655e-02	1.776401e-02
181           	8.758579e-02	N/A	2.456519e-03	1.436885e-02	1.303044e-02	1.632977e-02
182           	4.989991e-02	N/A	2.287006e-03	1.369448e-02	1.290810e-02	1.479766e-02
183           	4.652356e-02	N/A	1.689589e-03	1.578493e-02	1.177146e-02	1.597832e-02
184           	1.310995e-01	N/A	1.932945e-03	1.840771e-02	1.264558e-02	1.840313e-02
185           	5.817738e-02	N/A	2.716404e-03	2.025238e-02	1.564918e-02	2.010791e-02
186           	5.753242e-02	N/A	2.095661e-03	1.844017e-02	1.425476e-02	2.106427e-02
187           	4.993488e-02	N/A	2.038281e-03	1.936284e-02	1.450451e-02	1.953620e-02
188           	3.265121e-02	N/A	1.901473e-03	1.926697e-02	1.391185e-02	1.884213e-02
189           	2.908882e-02	N/A	1.645984e-03	1.895717e-02	1.354907e-02	1.934826e-02
190           	1.085763e-01	N/A	1.797106e-03	1.866595e-02	1.465846e-02	1.851027e-02
191           	7.956437e-02	N/A	2.563846e-03	1.726343e-02	1.502355e-02	1.952920e-02
192           	5.876633e-02	N/A	2.057957e-03	1.486422e-02	1.349060e-02	1.818300e-02
193           	6.699274e-02	N/A	1.889069e-03	1.375081e-02	1.360001e-02	1.497008e-02
194           	3.986343e-02	N/A	1.690564e-03	1.519984e-02	1.322378e-02	1.616980e-02
195           	4.586902e-02	N/A	1.579102e-03	1.773978e-02	1.264898e-02	1.923089e-02
196           	6.685471e-02	N/A	1.896761e-03	2.012961e-02	1.528913e-02	2.012663e-02
197           	8.589206e-02	N/A	2.095778e-03	1.851304e-02	1.492836e-02	2.082980e-02
198           	6.392723e-02	N/A	2.384165e-03	1.887015e-02	1.426617e-02	2.088915e-02
199           	3.372872e-02	N/A	2.005731e-03	1.912501e-02	1.436103e-02	1.890672e-02
200           	5.833267e-02	N/A	1.756502e-03	1.904848e-02	1.342867e-02	1.862888e-02
201           	6.153735e-02	N/A	1.682926e-03	1.850985e-02	1.483264e-02	1.864787e-02
202           	4.149177e-02	N/A	1.678619e-03	1.739955e-02	1.395124e-02	1.883552e-02
203           	8.628799e-02	N/A	1.783117e-03	1.556161e-02	1.316985e-02	1.789020e-02
204           	5.141118e-02	N/A	2.247719e-03	1.410100e-02	1.395889e-02	1.613351e-02
205           	6.529706e-02	N/A	2.054594e-03	1.442577e-02	1.296107e-02	1.554743e-02
206           	4.986506e-02	N/A	1.722235e-03	1.701338e-02	1.286510e-02	1.813652e-02
207           	6.558033e-02	N/A	2.075105e-03	1.963277e-02	1.455476e-02	2.009560e-02
208           	3.376327e-02	N/A	2.032714e-03	1.912357e-02	1.539974e-02	2.070148e-02
209           	2.778500e-02	N/A	1.827791e-03	1.870627e-02	1.415966e-02	2.039166e-02
210           	9.754832e-02	N/A	2.061978e-03	1.932356e-02	1.390447e-02	1.851344e-02
211           	8.061338e-02	N/A	2.660275e-03	1.914807e-02	1.464254e-02	1.924272e-02
212           	5.295440e-02	N/A	2.124296e-03	1.911731e-02	1.436743e-02	1.927441e-02
213           	8.039112e-02	N/A	1.754780e-03	1.764511e-02	1.418136e-02	1.939496e-02
214           	9.520869e-02	N/A	2.147990e-03	1.638615e-02	1.414184e-02	1.891240e-02
215           	4.408094e-02	N/A	2.060927e-03	1.453754e-02	1.389624e-02	1.730850e-02
216           	3.192803e-02	N/A	1.907055e-03	1.380097e-02	1.343270e-02	1.574936e-02
217           	2.855742e-02	N/A	1.432643e-03	1.584884e-02	1.263679e-02	1.641227e-02
218           	7.340290e-02	N/A	1.686388e-03	1.852054e-02	1.332868e-02	1.896570e-02
219           	6.485799e-02	N/A	2.218107e-03	1.984435e-02	1.541076e-02	2.096768e-02
220           	8.783441e-02	N/A	2.192876e-03	1.838117e-02	1.494514e-02	2.079135e-02
221           	7.406831e-02	N/A	2.403857e-03	1.923189e-02	1.428890e-02	2.007442e-02
222           	4.027467e-02	N/A	2.040831e-03	1.877641e-02	1.383921e-02	1.919557e-02
223           	3.506272e-02	N/A	1.643380e-03	1.877167e-02	1.388537e-02	1.857366e-02
