# Residuals   
# Time        	k             	nut           	omega         	p             	Urelx         	Urely         
10271         	5.372539e-05	N/A	6.560093e-06	1.177905e-03	5.399591e-05	5.484319e-05
10272         	5.372116e-05	N/A	6.651068e-06	1.233934e-03	5.453557e-05	5.429848e-05
10273         	5.371730e-05	N/A	6.730474e-06	1.313979e-03	5.429955e-05	5.451832e-05
10274         	5.371366e-05	N/A	6.465603e-06	1.155590e-03	5.408867e-05	5.469931e-05
10275         	5.370944e-05	N/A	6.688502e-06	1.221331e-03	5.393139e-05	5.484251e-05
10276         	5.370549e-05	N/A	6.563380e-06	1.360917e-03	5.428028e-05	5.452716e-05
10277         	5.370077e-05	N/A	6.525481e-06	1.103789e-03	5.409749e-05	5.462330e-05
10278         	5.369668e-05	N/A	6.688186e-06	1.246221e-03	5.450528e-05	5.424196e-05
10279         	5.369273e-05	N/A	6.529399e-06	1.288215e-03	5.424106e-05	5.448404e-05
10280         	5.368891e-05	N/A	6.644663e-06	1.104712e-03	5.406482e-05	5.464225e-05
10281         	5.368478e-05	N/A	6.600180e-06	1.257619e-03	5.393166e-05	5.475248e-05
10282         	5.368028e-05	N/A	6.582008e-06	1.237467e-03	5.429697e-05	5.440762e-05
10283         	5.367658e-05	N/A	6.610159e-06	1.199028e-03	5.413432e-05	5.452528e-05
10284         	5.367284e-05	N/A	6.675119e-06	1.228294e-03	5.402491e-05	5.462179e-05
10285         	5.366983e-05	N/A	6.727978e-06	1.176566e-03	5.407839e-05	5.458615e-05
10286         	5.366469e-05	N/A	6.680400e-06	1.196910e-03	5.398035e-05	5.461033e-05
10287         	5.366026e-05	N/A	6.752852e-06	1.197762e-03	5.443714e-05	5.421091e-05
10288         	5.365644e-05	N/A	6.569455e-06	1.172407e-03	5.417719e-05	5.442050e-05
